text,0,1,2,3,4
Okay naman sya kaso maliit pala. pero thanks pa din seller,0,0,0,1,0
Nagulat po ako nung dumating wala man lang bubble wrap. Yang plastic lang talaga ang pinaglagyan. Nakakadismaya. Gumagana so far pero praying na lang na tumagal. Sana mag extend kayo ng warranty. Paano kung umaandar nga ngayon tapos masira afterwards dahil nabagsak bagsak na ng courier.,1,0,0,0,0
"Maganda naman yung quality nung shirt, di siya manipis tapos yung maganda naman tingnan yung design. Kaso yung dumating na size di pala oversized para saakin kahit XL hahahah pero ok na din maganda pa naman kahit perfect fit lang. The print however meron konting spots na parang kulang ata sa paint?",0,0,0,0,1
Hindi po na double check may basag po na isa. Pero salamat din Sa ng deliver ki kuya.,0,0,0,1,0
Hindi nmn sya totoong 2L medyo malali lng sya sa 1L Ng kunti.,1,0,0,0,0
Not sure original bili nlng kayo sa mall sure pa kasi yong product nila iba fake talaga,0,1,0,0,0
Thanks it was delivered to me properly wla siang yupi. Napka ayos at ang dali ko na rcev.,0,0,0,0,1
Pag tatlong powder mud ko na to. Effective naman siya yung delivery lang— GRABE,0,0,0,1,0
Not satisfied sa picture my kasamang bombilya pero pero pag dating wala walang bomnilya,0,1,0,0,0
Mabilis naideliver yung item. Well- packaged. No damage yung item. Affordable. Ang laking ginhawa sa balikat at likod ko nung nagamit ko.,0,0,0,1,0
"Video- as you can see maluwang pwede matanggal. 1st pic- nakaangat sizz, di pantay. So pag sinuot di talaga siya pantayyy. 2nd pic- see the dots? Haysss Not worth the price of 695. Maganda lang design haha.",0,0,1,0,0
"Good deal, laki ng natipid ko when I get this at 50% off! Purchase during 11. 11. Tagal lang dumating that' s why 4 star muna.",0,0,0,1,0
